key,attraction_key,category,price
ef_pashu_nepali,attr_pashupatinath,Nepali,500
ef_pashu_saarc,attr_pashupatinath,SAARC,1000
ef_pashu_foreign,attr_pashupatinath,Foreign,2000
ef_boudha_nepali,attr_boudhanath,Nepali,50
ef_boudha_saarc,attr_boudhanath,SAARC,100
ef_boudha_foreign,attr_boudhanath,Foreign,400
ef_swayambhu_nepali,attr_swayambhunath,Nepali,50
ef_swayambhu_saarc,attr_swayambhunath,SAARC,100
ef_swayambhu_foreign,attr_swayambhunath,Foreign,200
ef_bhaktapur_nepali,attr_bhaktapur_durbar,Nepali,500
ef_bhaktapur_saarc,attr_bhaktapur_durbar,SAARC,1000
ef_bhaktapur_foreign,attr_bhaktapur_durbar,Foreign,1500
ef_patan_nepali,attr_patan_durbar,Nepali,200
ef_patan_saarc,attr_patan_durbar,SAARC,500
ef_patan_foreign,attr_patan_durbar,Foreign,1000
ef_lumbini_nepali,attr_lumbini,Nepali,0
ef_lumbini_saarc,attr_lumbini,SAARC,0
ef_lumbini_foreign,attr_lumbini,Foreign,0
ef_janaki_nepali,attr_janaki,Nepali,0
ef_janaki_saarc,attr_janaki,SAARC,0
ef_janaki_foreign,attr_janaki,Foreign,0
ef_chitwan_nepali,attr_chitwan,Nepali,500
ef_chitwan_saarc,attr_chitwan,SAARC,1000
ef_chitwan_foreign,attr_chitwan,Foreign,2000
ef_phewa_nepali,attr_phewa,Nepali,0
ef_phewa_saarc,attr_phewa,SAARC,0
ef_phewa_foreign,attr_phewa,Foreign,0
ef_nagarkot_nepali,attr_nagarkot,Nepali,0
ef_nagarkot_saarc,attr_nagarkot,SAARC,0
ef_nagarkot_foreign,attr_nagarkot,Foreign,0
ef_bandipur_nepali,attr_bandipur,Nepali,0
ef_bandipur_saarc,attr_bandipur,SAARC,0
ef_bandipur_foreign,attr_bandipur,Foreign,0
ef_manakamana_nepali,attr_manakamana,Nepali,0
ef_manakamana_saarc,attr_manakamana,SAARC,0
ef_manakamana_foreign,attr_manakamana,Foreign,0
ef_chandragiri_nepali,attr_chandragiri,Nepali,250
ef_chandragiri_saarc,attr_chandragiri,SAARC,500
ef_chandragiri_foreign,attr_chandragiri,Foreign,1000
ef_gosaikunda_nepali,attr_gosaikunda,Nepali,0
ef_gosaikunda_saarc,attr_gosaikunda,SAARC,0
ef_gosaikunda_foreign,attr_gosaikunda,Foreign,0
